"","date","births","dayofyear","wday"
"1",1978-01-01,7701,1,"Sun"
"2",1978-01-02,7527,2,"Mon"
"3",1978-01-03,8825,3,"Tues"
"4",1978-01-04,8859,4,"Wed"
"5",1978-01-05,9043,5,"Thurs"
"6",1978-01-06,9208,6,"Fri"
"7",1978-01-07,8084,7,"Sat"
"8",1978-01-08,7611,8,"Sun"
"9",1978-01-09,9172,9,"Mon"
"10",1978-01-10,9089,10,"Tues"
"11",1978-01-11,9210,11,"Wed"
"12",1978-01-12,9259,12,"Thurs"
"13",1978-01-13,9138,13,"Fri"
"14",1978-01-14,8299,14,"Sat"
"15",1978-01-15,7771,15,"Sun"
"16",1978-01-16,9458,16,"Mon"
"17",1978-01-17,9339,17,"Tues"
"18",1978-01-18,9120,18,"Wed"
"19",1978-01-19,9226,19,"Thurs"
"20",1978-01-20,9305,20,"Fri"
"21",1978-01-21,7954,21,"Sat"
"22",1978-01-22,7560,22,"Sun"
"23",1978-01-23,9252,23,"Mon"
"24",1978-01-24,9416,24,"Tues"
"25",1978-01-25,9090,25,"Wed"
"26",1978-01-26,9387,26,"Thurs"
"27",1978-01-27,8983,27,"Fri"
"28",1978-01-28,7946,28,"Sat"
"29",1978-01-29,7527,29,"Sun"
"30",1978-01-30,9184,30,"Mon"
"31",1978-01-31,9152,31,"Tues"
"32",1978-02-01,9159,32,"Wed"
"33",1978-02-02,9218,33,"Thurs"
"34",1978-02-03,9167,34,"Fri"
"35",1978-02-04,8065,35,"Sat"
"36",1978-02-05,7804,36,"Sun"
"37",1978-02-06,9225,37,"Mon"
"38",1978-02-07,9328,38,"Tues"
"39",1978-02-08,9139,39,"Wed"
"40",1978-02-09,9247,40,"Thurs"
"41",1978-02-10,9527,41,"Fri"
"42",1978-02-11,8144,42,"Sat"
"43",1978-02-12,7950,43,"Sun"
"44",1978-02-13,8966,44,"Mon"
"45",1978-02-14,9859,45,"Tues"
"46",1978-02-15,9285,46,"Wed"
"47",1978-02-16,9103,47,"Thurs"
"48",1978-02-17,9238,48,"Fri"
"49",1978-02-18,8167,49,"Sat"
"50",1978-02-19,7695,50,"Sun"
"51",1978-02-20,9021,51,"Mon"
"52",1978-02-21,9252,52,"Tues"
"53",1978-02-22,9335,53,"Wed"
"54",1978-02-23,9268,54,"Thurs"
"55",1978-02-24,9552,55,"Fri"
"56",1978-02-25,8313,56,"Sat"
"57",1978-02-26,7881,57,"Sun"
"58",1978-02-27,9262,58,"Mon"
"59",1978-02-28,9705,59,"Tues"
"60",1978-03-01,9132,60,"Wed"
"61",1978-03-02,9304,61,"Thurs"
"62",1978-03-03,9431,62,"Fri"
"63",1978-03-04,8008,63,"Sat"
"64",1978-03-05,7791,64,"Sun"
"65",1978-03-06,9294,65,"Mon"
"66",1978-03-07,9573,66,"Tues"
"67",1978-03-08,9212,67,"Wed"
"68",1978-03-09,9218,68,"Thurs"
"69",1978-03-10,9583,69,"Fri"
"70",1978-03-11,8144,70,"Sat"
"71",1978-03-12,7870,71,"Sun"
"72",1978-03-13,9022,72,"Mon"
"73",1978-03-14,9525,73,"Tues"
"74",1978-03-15,9284,74,"Wed"
"75",1978-03-16,9327,75,"Thurs"
"76",1978-03-17,9480,76,"Fri"
"77",1978-03-18,7965,77,"Sat"
"78",1978-03-19,7729,78,"Sun"
"79",1978-03-20,9135,79,"Mon"
"80",1978-03-21,9663,80,"Tues"
"81",1978-03-22,9307,81,"Wed"
"82",1978-03-23,9159,82,"Thurs"
"83",1978-03-24,9157,83,"Fri"
"84",1978-03-25,7874,84,"Sat"
"85",1978-03-26,7589,85,"Sun"
"86",1978-03-27,9100,86,"Mon"
"87",1978-03-28,9293,87,"Tues"
"88",1978-03-29,9195,88,"Wed"
"89",1978-03-30,8902,89,"Thurs"
"90",1978-03-31,9318,90,"Fri"
"91",1978-04-01,8069,91,"Sat"
"92",1978-04-02,7691,92,"Sun"
"93",1978-04-03,9114,93,"Mon"
"94",1978-04-04,9439,94,"Tues"
"95",1978-04-05,8852,95,"Wed"
"96",1978-04-06,8969,96,"Thurs"
"97",1978-04-07,9077,97,"Fri"
"98",1978-04-08,7890,98,"Sat"
"99",1978-04-09,7445,99,"Sun"
"100",1978-04-10,8870,100,"Mon"
"101",1978-04-11,9023,101,"Tues"
"102",1978-04-12,8606,102,"Wed"
"103",1978-04-13,8724,103,"Thurs"
"104",1978-04-14,9012,104,"Fri"
"105",1978-04-15,7527,105,"Sat"
"106",1978-04-16,7193,106,"Sun"
"107",1978-04-17,8702,107,"Mon"
"108",1978-04-18,9205,108,"Tues"
"109",1978-04-19,8720,109,"Wed"
"110",1978-04-20,8582,110,"Thurs"
"111",1978-04-21,8892,111,"Fri"
"112",1978-04-22,7787,112,"Sat"
"113",1978-04-23,7304,113,"Sun"
"114",1978-04-24,9017,114,"Mon"
"115",1978-04-25,9077,115,"Tues"
"116",1978-04-26,9019,116,"Wed"
"117",1978-04-27,8839,117,"Thurs"
"118",1978-04-28,9047,118,"Fri"
"119",1978-04-29,7750,119,"Sat"
"120",1978-04-30,7135,120,"Sun"
"121",1978-05-01,8900,121,"Mon"
"122",1978-05-02,9422,122,"Tues"
"123",1978-05-03,9051,123,"Wed"
"124",1978-05-04,8672,124,"Thurs"
"125",1978-05-05,9101,125,"Fri"
"126",1978-05-06,7718,126,"Sat"
"127",1978-05-07,7388,127,"Sun"
"128",1978-05-08,8987,128,"Mon"
"129",1978-05-09,9307,129,"Tues"
"130",1978-05-10,9273,130,"Wed"
"131",1978-05-11,8903,131,"Thurs"
"132",1978-05-12,8975,132,"Fri"
"133",1978-05-13,7762,133,"Sat"
"134",1978-05-14,7382,134,"Sun"
"135",1978-05-15,9195,135,"Mon"
"136",1978-05-16,9200,136,"Tues"
"137",1978-05-17,8913,137,"Wed"
"138",1978-05-18,9044,138,"Thurs"
"139",1978-05-19,9000,139,"Fri"
"140",1978-05-20,8064,140,"Sat"
"141",1978-05-21,7570,141,"Sun"
"142",1978-05-22,9089,142,"Mon"
"143",1978-05-23,9210,143,"Tues"
"144",1978-05-24,9196,144,"Wed"
"145",1978-05-25,9180,145,"Thurs"
"146",1978-05-26,9514,146,"Fri"
"147",1978-05-27,8005,147,"Sat"
"148",1978-05-28,7781,148,"Sun"
"149",1978-05-29,7780,149,"Mon"
"150",1978-05-30,9630,150,"Tues"
"151",1978-05-31,9600,151,"Wed"
"152",1978-06-01,9435,152,"Thurs"
"153",1978-06-02,9303,153,"Fri"
"154",1978-06-03,7971,154,"Sat"
"155",1978-06-04,7399,155,"Sun"
"156",1978-06-05,9127,156,"Mon"
"157",1978-06-06,9606,157,"Tues"
"158",1978-06-07,9328,158,"Wed"
"159",1978-06-08,9075,159,"Thurs"
"160",1978-06-09,9362,160,"Fri"
"161",1978-06-10,8040,161,"Sat"
"162",1978-06-11,7581,162,"Sun"
"163",1978-06-12,9201,163,"Mon"
"164",1978-06-13,9264,164,"Tues"
"165",1978-06-14,9216,165,"Wed"
"166",1978-06-15,9175,166,"Thurs"
"167",1978-06-16,9350,167,"Fri"
"168",1978-06-17,8233,168,"Sat"
"169",1978-06-18,7777,169,"Sun"
"170",1978-06-19,9543,170,"Mon"
"171",1978-06-20,9672,171,"Tues"
"172",1978-06-21,9266,172,"Wed"
"173",1978-06-22,9405,173,"Thurs"
"174",1978-06-23,9598,174,"Fri"
"175",1978-06-24,8122,175,"Sat"
"176",1978-06-25,8091,176,"Sun"
"177",1978-06-26,9348,177,"Mon"
"178",1978-06-27,9857,178,"Tues"
"179",1978-06-28,9701,179,"Wed"
"180",1978-06-29,9630,180,"Thurs"
"181",1978-06-30,10080,181,"Fri"
"182",1978-07-01,8209,182,"Sat"
"183",1978-07-02,7976,183,"Sun"
"184",1978-07-03,9284,184,"Mon"
"185",1978-07-04,8433,185,"Tues"
"186",1978-07-05,9675,186,"Wed"
"187",1978-07-06,10184,187,"Thurs"
"188",1978-07-07,10241,188,"Fri"
"189",1978-07-08,8773,189,"Sat"
"190",1978-07-09,8102,190,"Sun"
"191",1978-07-10,9877,191,"Mon"
"192",1978-07-11,9852,192,"Tues"
"193",1978-07-12,9705,193,"Wed"
"194",1978-07-13,9984,194,"Thurs"
"195",1978-07-14,10438,195,"Fri"
"196",1978-07-15,8859,196,"Sat"
"197",1978-07-16,8416,197,"Sun"
"198",1978-07-17,10026,198,"Mon"
"199",1978-07-18,10357,199,"Tues"
"200",1978-07-19,10015,200,"Wed"
"201",1978-07-20,10386,201,"Thurs"
"202",1978-07-21,10332,202,"Fri"
"203",1978-07-22,9062,203,"Sat"
"204",1978-07-23,8563,204,"Sun"
"205",1978-07-24,9960,205,"Mon"
"206",1978-07-25,10349,206,"Tues"
"207",1978-07-26,10091,207,"Wed"
"208",1978-07-27,10192,208,"Thurs"
"209",1978-07-28,10307,209,"Fri"
"210",1978-07-29,8677,210,"Sat"
"211",1978-07-30,8486,211,"Sun"
"212",1978-07-31,9890,212,"Mon"
"213",1978-08-01,10145,213,"Tues"
"214",1978-08-02,9824,214,"Wed"
"215",1978-08-03,10128,215,"Thurs"
"216",1978-08-04,10051,216,"Fri"
"217",1978-08-05,8738,217,"Sat"
"218",1978-08-06,8442,218,"Sun"
"219",1978-08-07,10206,219,"Mon"
"220",1978-08-08,10442,220,"Tues"
"221",1978-08-09,10142,221,"Wed"
"222",1978-08-10,10284,222,"Thurs"
"223",1978-08-11,10162,223,"Fri"
"224",1978-08-12,8951,224,"Sat"
"225",1978-08-13,8532,225,"Sun"
"226",1978-08-14,10127,226,"Mon"
"227",1978-08-15,10502,227,"Tues"
"228",1978-08-16,10053,228,"Wed"
"229",1978-08-17,10377,229,"Thurs"
"230",1978-08-18,10355,230,"Fri"
"231",1978-08-19,8904,231,"Sat"
"232",1978-08-20,8477,232,"Sun"
"233",1978-08-21,9967,233,"Mon"
"234",1978-08-22,10229,234,"Tues"
"235",1978-08-23,9900,235,"Wed"
"236",1978-08-24,10152,236,"Thurs"
"237",1978-08-25,10173,237,"Fri"
"238",1978-08-26,8782,238,"Sat"
"239",1978-08-27,8453,239,"Sun"
"240",1978-08-28,9998,240,"Mon"
"241",1978-08-29,10387,241,"Tues"
"242",1978-08-30,10063,242,"Wed"
"243",1978-08-31,9849,243,"Thurs"
"244",1978-09-01,10114,244,"Fri"
"245",1978-09-02,8580,245,"Sat"
"246",1978-09-03,8355,246,"Sun"
"247",1978-09-04,8481,247,"Mon"
"248",1978-09-05,10023,248,"Tues"
"249",1978-09-06,10703,249,"Wed"
"250",1978-09-07,10292,250,"Thurs"
"251",1978-09-08,10371,251,"Fri"
"252",1978-09-09,9023,252,"Sat"
"253",1978-09-10,8630,253,"Sun"
"254",1978-09-11,10154,254,"Mon"
"255",1978-09-12,10425,255,"Tues"
"256",1978-09-13,10149,256,"Wed"
"257",1978-09-14,10265,257,"Thurs"
"258",1978-09-15,10265,258,"Fri"
"259",1978-09-16,9170,259,"Sat"
"260",1978-09-17,8711,260,"Sun"
"261",1978-09-18,10304,261,"Mon"
"262",1978-09-19,10711,262,"Tues"
"263",1978-09-20,10488,263,"Wed"
"264",1978-09-21,10499,264,"Thurs"
"265",1978-09-22,10349,265,"Fri"
"266",1978-09-23,8735,266,"Sat"
"267",1978-09-24,8647,267,"Sun"
"268",1978-09-25,10414,268,"Mon"
"269",1978-09-26,10498,269,"Tues"
"270",1978-09-27,10344,270,"Wed"
"271",1978-09-28,10175,271,"Thurs"
"272",1978-09-29,10368,272,"Fri"
"273",1978-09-30,8648,273,"Sat"
"274",1978-10-01,8686,274,"Sun"
"275",1978-10-02,9927,275,"Mon"
"276",1978-10-03,10378,276,"Tues"
"277",1978-10-04,9928,277,"Wed"
"278",1978-10-05,9949,278,"Thurs"
"279",1978-10-06,10052,279,"Fri"
"280",1978-10-07,8605,280,"Sat"
"281",1978-10-08,8377,281,"Sun"
"282",1978-10-09,9765,282,"Mon"
"283",1978-10-10,10351,283,"Tues"
"284",1978-10-11,9873,284,"Wed"
"285",1978-10-12,9824,285,"Thurs"
"286",1978-10-13,9755,286,"Fri"
"287",1978-10-14,8554,287,"Sat"
"288",1978-10-15,7873,288,"Sun"
"289",1978-10-16,9531,289,"Mon"
"290",1978-10-17,9938,290,"Tues"
"291",1978-10-18,9388,291,"Wed"
"292",1978-10-19,9502,292,"Thurs"
"293",1978-10-20,9625,293,"Fri"
"294",1978-10-21,8411,294,"Sat"
"295",1978-10-22,7936,295,"Sun"
"296",1978-10-23,9425,296,"Mon"
"297",1978-10-24,9576,297,"Tues"
"298",1978-10-25,9328,298,"Wed"
"299",1978-10-26,9501,299,"Thurs"
"300",1978-10-27,9537,300,"Fri"
"301",1978-10-28,8415,301,"Sat"
"302",1978-10-29,8155,302,"Sun"
"303",1978-10-30,9457,303,"Mon"
"304",1978-10-31,9333,304,"Tues"
"305",1978-11-01,9321,305,"Wed"
"306",1978-11-02,9245,306,"Thurs"
"307",1978-11-03,9774,307,"Fri"
"308",1978-11-04,8246,308,"Sat"
"309",1978-11-05,8011,309,"Sun"
"310",1978-11-06,9507,310,"Mon"
"311",1978-11-07,9769,311,"Tues"
"312",1978-11-08,9501,312,"Wed"
"313",1978-11-09,9609,313,"Thurs"
"314",1978-11-10,9652,314,"Fri"
"315",1978-11-11,8352,315,"Sat"
"316",1978-11-12,7967,316,"Sun"
"317",1978-11-13,9606,317,"Mon"
"318",1978-11-14,10014,318,"Tues"
"319",1978-11-15,9536,319,"Wed"
"320",1978-11-16,9568,320,"Thurs"
"321",1978-11-17,9835,321,"Fri"
"322",1978-11-18,8432,322,"Sat"
"323",1978-11-19,7868,323,"Sun"
"324",1978-11-20,9592,324,"Mon"
"325",1978-11-21,9950,325,"Tues"
"326",1978-11-22,9548,326,"Wed"
"327",1978-11-23,7915,327,"Thurs"
"328",1978-11-24,9037,328,"Fri"
"329",1978-11-25,8275,329,"Sat"
"330",1978-11-26,8068,330,"Sun"
"331",1978-11-27,9825,331,"Mon"
"332",1978-11-28,9814,332,"Tues"
"333",1978-11-29,9438,333,"Wed"
"334",1978-11-30,9396,334,"Thurs"
"335",1978-12-01,9592,335,"Fri"
"336",1978-12-02,8528,336,"Sat"
"337",1978-12-03,8196,337,"Sun"
"338",1978-12-04,9767,338,"Mon"
"339",1978-12-05,9881,339,"Tues"
"340",1978-12-06,9402,340,"Wed"
"341",1978-12-07,9480,341,"Thurs"
"342",1978-12-08,9398,342,"Fri"
"343",1978-12-09,8335,343,"Sat"
"344",1978-12-10,8093,344,"Sun"
"345",1978-12-11,9686,345,"Mon"
"346",1978-12-12,10063,346,"Tues"
"347",1978-12-13,9509,347,"Wed"
"348",1978-12-14,9524,348,"Thurs"
"349",1978-12-15,9951,349,"Fri"
"350",1978-12-16,8507,350,"Sat"
"351",1978-12-17,8172,351,"Sun"
"352",1978-12-18,10196,352,"Mon"
"353",1978-12-19,10605,353,"Tues"
"354",1978-12-20,9998,354,"Wed"
"355",1978-12-21,9398,355,"Thurs"
"356",1978-12-22,9008,356,"Fri"
"357",1978-12-23,7939,357,"Sat"
"358",1978-12-24,7964,358,"Sun"
"359",1978-12-25,7846,359,"Mon"
"360",1978-12-26,8902,360,"Tues"
"361",1978-12-27,9907,361,"Wed"
"362",1978-12-28,10177,362,"Thurs"
"363",1978-12-29,10401,363,"Fri"
"364",1978-12-30,8474,364,"Sat"
"365",1978-12-31,8028,365,"Sun"
