Name,year,Quarter of Date,Sector (group) 1,Avg. Funding Amount,Funding Amount,Number of Deals
Biotech Q1,1995,Q1,Biotech,$0B,$0B,59
Biotech Q1,1996,Q1,Biotech,$0B,$0B,82
Biotech Q1,1997,Q1,Biotech,$0B,$0B,76
Biotech Q1,1998,Q1,Biotech,$0B,$0B,110
Biotech Q1,1999,Q1,Biotech,$0B,$1B,78
Biotech Q1,2000,Q1,Biotech,$1B,$1B,121
Biotech Q1,2001,Q1,Biotech,$0B,$1B,91
Biotech Q1,2002,Q1,Biotech,$1B,$1B,128
Biotech Q1,2003,Q1,Biotech,$0B,$1B,82
Biotech Q1,2004,Q1,Biotech,$1B,$1B,113
Biotech Q1,2005,Q1,Biotech,$0B,$1B,110
Biotech Q1,2006,Q1,Biotech,$1B,$1B,125
Biotech Q1,2007,Q1,Biotech,$1B,$2B,131
Biotech Q1,2008,Q1,Biotech,$1B,$1B,179
Biotech Q1,2009,Q1,Biotech,$0B,$1B,112
Biotech Q1,2010,Q1,Biotech,$0B,$1B,131
Biotech Q2,1995,Q2,Biotech,$0B,$0B,48
Biotech Q2,1996,Q2,Biotech,$0B,$0B,79
Biotech Q2,1997,Q2,Biotech,$0B,$0B,85
Biotech Q2,1998,Q2,Biotech,$0B,$0B,74
Biotech Q2,1999,Q2,Biotech,$0B,$1B,93
Biotech Q2,2000,Q2,Biotech,$0B,$1B,111
Biotech Q2,2001,Q2,Biotech,$1B,$1B,114
Biotech Q2,2002,Q2,Biotech,$1B,$1B,126
Biotech Q2,2003,Q2,Biotech,$0B,$1B,106
Biotech Q2,2004,Q2,Biotech,$1B,$1B,127
Biotech Q2,2005,Q2,Biotech,$1B,$1B,129
Biotech Q2,2006,Q2,Biotech,$1B,$2B,174
Biotech Q2,2007,Q2,Biotech,$1B,$2B,176
Biotech Q2,2008,Q2,Biotech,$1B,$1B,160
Biotech Q2,2009,Q2,Biotech,$1B,$1B,122
Biotech Q2,2010,Q2,Biotech,$1B,$2B,180
Biotech Q3,1995,Q3,Biotech,$0B,$0B,51
Biotech Q3,1996,Q3,Biotech,$0B,$0B,58
Biotech Q3,1997,Q3,Biotech,$0B,$0B,76
Biotech Q3,1998,Q3,Biotech,$0B,$0B,95
Biotech Q3,1999,Q3,Biotech,$0B,$0B,66
Biotech Q3,2000,Q3,Biotech,$1B,$2B,125
Biotech Q3,2001,Q3,Biotech,$0B,$1B,116
Biotech Q3,2002,Q3,Biotech,$0B,$1B,71
Biotech Q3,2003,Q3,Biotech,$1B,$1B,109
Biotech Q3,2004,Q3,Biotech,$1B,$1B,113
Biotech Q3,2005,Q3,Biotech,$1B,$1B,134
Biotech Q3,2006,Q3,Biotech,$1B,$1B,148
Biotech Q3,2007,Q3,Biotech,$1B,$1B,146
Biotech Q3,2008,Q3,Biotech,$1B,$1B,155
Biotech Q3,2009,Q3,Biotech,$1B,$1B,134
Biotech Q4,1995,Q4,Biotech,$0B,$0B,71
Biotech Q4,1996,Q4,Biotech,$0B,$0B,87
Biotech Q4,1997,Q4,Biotech,$0B,$1B,97
Biotech Q4,1998,Q4,Biotech,$0B,$1B,105
Biotech Q4,1999,Q4,Biotech,$0B,$1B,110
Biotech Q4,2000,Q4,Biotech,$1B,$1B,123
Biotech Q4,2001,Q4,Biotech,$1B,$1B,123
Biotech Q4,2002,Q4,Biotech,$0B,$1B,97
Biotech Q4,2003,Q4,Biotech,$1B,$1B,140
Biotech Q4,2004,Q4,Biotech,$1B,$1B,142
Biotech Q4,2005,Q4,Biotech,$1B,$1B,124
Biotech Q4,2006,Q4,Biotech,$1B,$1B,165
Biotech Q4,2007,Q4,Biotech,$1B,$2B,172
Biotech Q4,2008,Q4,Biotech,$1B,$1B,149
Biotech Q4,2009,Q4,Biotech,$1B,$1B,137
Hardware Q1,1995,Q1,Hardware,$0B,$1B,192
Hardware Q1,1996,Q1,Hardware,$0B,$1B,178
Hardware Q1,1997,Q1,Hardware,$0B,$1B,202
Hardware Q1,1998,Q1,Hardware,$0B,$1B,259
Hardware Q1,1999,Q1,Hardware,$0B,$1B,221
Hardware Q1,2000,Q1,Hardware,$0B,$4B,371
Hardware Q1,2001,Q1,Hardware,$0B,$4B,347
Hardware Q1,2002,Q1,Hardware,$0B,$2B,254
Hardware Q1,2003,Q1,Hardware,$0B,$1B,218
Hardware Q1,2004,Q1,Hardware,$0B,$2B,241
Hardware Q1,2005,Q1,Hardware,$0B,$2B,248
Hardware Q1,2006,Q1,Hardware,$0B,$2B,290
Hardware Q1,2007,Q1,Hardware,$0B,$3B,277
Hardware Q1,2008,Q1,Hardware,$0B,$2B,277
Hardware Q1,2009,Q1,Hardware,$0B,$1B,148
Hardware Q1,2010,Q1,Hardware,$0B,$1B,173
Hardware Q2,1995,Q2,Hardware,$0B,$1B,151
Hardware Q2,1996,Q2,Hardware,$0B,$1B,200
Hardware Q2,1997,Q2,Hardware,$0B,$1B,221
Hardware Q2,1998,Q2,Hardware,$0B,$1B,249
Hardware Q2,1999,Q2,Hardware,$0B,$2B,291
Hardware Q2,2000,Q2,Hardware,$1B,$5B,415
Hardware Q2,2001,Q2,Hardware,$0B,$3B,310
Hardware Q2,2002,Q2,Hardware,$0B,$2B,272
Hardware Q2,2003,Q2,Hardware,$0B,$2B,236
Hardware Q2,2004,Q2,Hardware,$0B,$2B,308
Hardware Q2,2005,Q2,Hardware,$0B,$2B,287
Hardware Q2,2006,Q2,Hardware,$0B,$2B,299
Hardware Q2,2007,Q2,Hardware,$0B,$2B,331
Hardware Q2,2008,Q2,Hardware,$0B,$2B,279
Hardware Q2,2009,Q2,Hardware,$0B,$1B,210
Hardware Q2,2010,Q2,Hardware,$0B,$2B,221
Hardware Q3,1995,Q3,Hardware,$0B,$0B,153
Hardware Q3,1996,Q3,Hardware,$0B,$1B,160
Hardware Q3,1997,Q3,Hardware,$0B,$1B,249
Hardware Q3,1998,Q3,Hardware,$0B,$1B,260
Hardware Q3,1999,Q3,Hardware,$0B,$3B,292
Hardware Q3,2000,Q3,Hardware,$1B,$7B,474
Hardware Q3,2001,Q3,Hardware,$0B,$3B,270
Hardware Q3,2002,Q3,Hardware,$0B,$2B,198
Hardware Q3,2003,Q3,Hardware,$0B,$1B,243
Hardware Q3,2004,Q3,Hardware,$0B,$2B,243
Hardware Q3,2005,Q3,Hardware,$0B,$2B,243
Hardware Q3,2006,Q3,Hardware,$0B,$2B,298
Hardware Q3,2007,Q3,Hardware,$0B,$2B,267
Hardware Q3,2008,Q3,Hardware,$0B,$2B,252
Hardware Q3,2009,Q3,Hardware,$0B,$1B,201
Hardware Q4,1995,Q4,Hardware,$0B,$1B,138
Hardware Q4,1996,Q4,Hardware,$0B,$1B,228
Hardware Q4,1997,Q4,Hardware,$0B,$1B,290
Hardware Q4,1998,Q4,Hardware,$0B,$1B,269
Hardware Q4,1999,Q4,Hardware,$0B,$5B,355
Hardware Q4,2000,Q4,Hardware,$1B,$7B,458
Hardware Q4,2001,Q4,Hardware,$0B,$3B,285
Hardware Q4,2002,Q4,Hardware,$0B,$1B,216
Hardware Q4,2003,Q4,Hardware,$0B,$2B,271
Hardware Q4,2004,Q4,Hardware,$0B,$2B,300
Hardware Q4,2005,Q4,Hardware,$0B,$2B,265
Hardware Q4,2006,Q4,Hardware,$0B,$2B,258
Hardware Q4,2007,Q4,Hardware,$0B,$3B,293
Hardware Q4,2008,Q4,Hardware,$0B,$2B,227
Hardware Q4,2009,Q4,Hardware,$0B,$1B,217
Industrial Q1,1995,Q1,Industrial,$0B,$0B,70
Industrial Q1,1996,Q1,Industrial,$0B,$0B,49
Industrial Q1,1997,Q1,Industrial,$0B,$0B,64
Industrial Q1,1998,Q1,Industrial,$0B,$0B,76
Industrial Q1,1999,Q1,Industrial,$0B,$0B,42
Industrial Q1,2000,Q1,Industrial,$1B,$1B,97
Industrial Q1,2001,Q1,Industrial,$0B,$1B,95
Industrial Q1,2002,Q1,Industrial,$0B,$1B,51
Industrial Q1,2003,Q1,Industrial,$0B,$0B,44
Industrial Q1,2004,Q1,Industrial,$0B,$0B,54
Industrial Q1,2005,Q1,Industrial,$0B,$0B,49
Industrial Q1,2006,Q1,Industrial,$0B,$0B,65
Industrial Q1,2007,Q1,Industrial,$0B,$1B,79
Industrial Q1,2008,Q1,Industrial,$1B,$2B,101
Industrial Q1,2009,Q1,Industrial,$0B,$0B,61
Industrial Q1,2010,Q1,Industrial,$0B,$1B,97
Industrial Q2,1995,Q2,Industrial,$0B,$0B,51
Industrial Q2,1996,Q2,Industrial,$0B,$0B,55
Industrial Q2,1997,Q2,Industrial,$0B,$0B,83
Industrial Q2,1998,Q2,Industrial,$0B,$1B,64
Industrial Q2,1999,Q2,Industrial,$0B,$0B,61
Industrial Q2,2000,Q2,Industrial,$0B,$1B,81
Industrial Q2,2001,Q2,Industrial,$0B,$0B,71
Industrial Q2,2002,Q2,Industrial,$0B,$0B,59
Industrial Q2,2003,Q2,Industrial,$0B,$0B,38
Industrial Q2,2004,Q2,Industrial,$0B,$0B,57
Industrial Q2,2005,Q2,Industrial,$0B,$0B,42
Industrial Q2,2006,Q2,Industrial,$0B,$1B,89
Industrial Q2,2007,Q2,Industrial,$0B,$1B,99
Industrial Q2,2008,Q2,Industrial,$1B,$1B,129
Industrial Q2,2009,Q2,Industrial,$0B,$1B,78
Industrial Q2,2010,Q2,Industrial,$1B,$1B,78
Industrial Q3,1995,Q3,Industrial,$0B,$0B,46
Industrial Q3,1996,Q3,Industrial,$0B,$0B,52
Industrial Q3,1997,Q3,Industrial,$0B,$0B,93
Industrial Q3,1998,Q3,Industrial,$0B,$1B,67
Industrial Q3,1999,Q3,Industrial,$0B,$0B,71
Industrial Q3,2000,Q3,Industrial,$0B,$1B,91
Industrial Q3,2001,Q3,Industrial,$0B,$0B,56
Industrial Q3,2002,Q3,Industrial,$0B,$0B,29
Industrial Q3,2003,Q3,Industrial,$0B,$0B,49
Industrial Q3,2004,Q3,Industrial,$0B,$0B,34
Industrial Q3,2005,Q3,Industrial,$0B,$0B,57
Industrial Q3,2006,Q3,Industrial,$0B,$1B,81
Industrial Q3,2007,Q3,Industrial,$1B,$1B,131
Industrial Q3,2008,Q3,Industrial,$1B,$2B,147
Industrial Q3,2009,Q3,Industrial,$1B,$1B,69
Industrial Q4,1995,Q4,Industrial,$0B,$0B,46
Industrial Q4,1996,Q4,Industrial,$0B,$0B,84
Industrial Q4,1997,Q4,Industrial,$0B,$0B,76
Industrial Q4,1998,Q4,Industrial,$0B,$1B,72
Industrial Q4,1999,Q4,Industrial,$1B,$2B,122
Industrial Q4,2000,Q4,Industrial,$0B,$1B,99
Industrial Q4,2001,Q4,Industrial,$0B,$0B,61
Industrial Q4,2002,Q4,Industrial,$0B,$0B,52
Industrial Q4,2003,Q4,Industrial,$0B,$0B,48
Industrial Q4,2004,Q4,Industrial,$0B,$0B,57
Industrial Q4,2005,Q4,Industrial,$0B,$0B,63
Industrial Q4,2006,Q4,Industrial,$0B,$1B,79
Industrial Q4,2007,Q4,Industrial,$1B,$1B,137
Industrial Q4,2008,Q4,Industrial,$1B,$1B,123
Industrial Q4,2009,Q4,Industrial,$0B,$1B,95
Software Q1,1995,Q1,Software,$0B,$0B,145
Software Q1,1996,Q1,Software,$0B,$1B,219
Software Q1,1997,Q1,Software,$0B,$1B,294
Software Q1,1998,Q1,Software,$1B,$1B,310
Software Q1,1999,Q1,Software,$1B,$1B,313
Software Q1,2000,Q1,Software,$4B,$8B,775
Software Q1,2001,Q1,Software,$2B,$4B,433
Software Q1,2002,Q1,Software,$1B,$2B,320
Software Q1,2003,Q1,Software,$1B,$1B,302
Software Q1,2004,Q1,Software,$1B,$2B,274
Software Q1,2005,Q1,Software,$1B,$2B,278
Software Q1,2006,Q1,Software,$1B,$2B,286
Software Q1,2007,Q1,Software,$1B,$2B,289
Software Q1,2008,Q1,Software,$1B,$2B,328
Software Q1,2009,Q1,Software,$0B,$1B,193
Software Q1,2010,Q1,Software,$0B,$1B,210
Software Q2,1995,Q2,Software,$0B,$0B,181
Software Q2,1996,Q2,Software,$0B,$1B,263
Software Q2,1997,Q2,Software,$1B,$1B,270
Software Q2,1998,Q2,Software,$1B,$1B,338
Software Q2,1999,Q2,Software,$1B,$3B,494
Software Q2,2000,Q2,Software,$4B,$8B,856
Software Q2,2001,Q2,Software,$2B,$3B,431
Software Q2,2002,Q2,Software,$1B,$2B,339
Software Q2,2003,Q2,Software,$1B,$1B,300
Software Q2,2004,Q2,Software,$1B,$2B,335
Software Q2,2005,Q2,Software,$1B,$1B,294
Software Q2,2006,Q2,Software,$1B,$2B,328
Software Q2,2007,Q2,Software,$1B,$2B,350
Software Q2,2008,Q2,Software,$1B,$2B,313
Software Q2,2009,Q2,Software,$0B,$1B,196
Software Q2,2010,Q2,Software,$1B,$1B,305
Software Q3,1995,Q3,Software,$0B,$0B,140
Software Q3,1996,Q3,Software,$0B,$1B,240
Software Q3,1997,Q3,Software,$1B,$1B,278
Software Q3,1998,Q3,Software,$1B,$1B,287
Software Q3,1999,Q3,Software,$2B,$3B,551
Software Q3,2000,Q3,Software,$3B,$7B,719
Software Q3,2001,Q3,Software,$1B,$2B,361
Software Q3,2002,Q3,Software,$1B,$2B,304
Software Q3,2003,Q3,Software,$1B,$1B,264
Software Q3,2004,Q3,Software,$1B,$1B,256
Software Q3,2005,Q3,Software,$1B,$1B,300
Software Q3,2006,Q3,Software,$1B,$1B,274
Software Q3,2007,Q3,Software,$1B,$1B,274
Software Q3,2008,Q3,Software,$1B,$2B,296
Software Q3,2009,Q3,Software,$0B,$1B,182
Software Q4,1995,Q4,Software,$0B,$1B,183
Software Q4,1996,Q4,Software,$0B,$1B,281
Software Q4,1997,Q4,Software,$1B,$1B,299
Software Q4,1998,Q4,Software,$1B,$2B,364
Software Q4,1999,Q4,Software,$3B,$5B,640
Software Q4,2000,Q4,Software,$3B,$6B,646
Software Q4,2001,Q4,Software,$1B,$2B,344
Software Q4,2002,Q4,Software,$1B,$1B,283
Software Q4,2003,Q4,Software,$1B,$1B,295
Software Q4,2004,Q4,Software,$1B,$2B,319
Software Q4,2005,Q4,Software,$1B,$2B,293
Software Q4,2006,Q4,Software,$1B,$1B,315
Software Q4,2007,Q4,Software,$1B,$2B,336
Software Q4,2008,Q4,Software,$1B,$1B,302
Software Q4,2009,Q4,Software,$1B,$1B,263